                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4012,                 3.2479,                 1.0383,                0.42361,                0.41531,                 0.3538,                0.23973,                 1.1479,                 1.7455,                 0.9593,              0.0033322,              0.0033322,              0.0033322
                      2,                 1.2493,                 1.9884,                0.98279,                0.50104,                0.46036,                0.42828,                0.29238,                 1.1211,                 1.4896,                0.95589,              0.0065995,              0.0065995,              0.0065995
                      3,                 1.2575,                 1.6568,                0.99175,                 0.5451,                0.53387,                0.50998,                0.35209,                 1.1094,                 1.3197,                0.96308,              0.0098008,              0.0098008,              0.0098008
                      4,                 1.2356,                 1.5181,                0.99037,                0.62659,                0.51941,                0.54097,                0.38144,                 1.0647,                 1.2287,                0.95256,               0.009703,               0.009703,               0.009703
                      5,                 1.1853,                 1.3942,                0.97396,                0.62553,                0.55209,                0.57289,                0.40815,                 1.0372,                 1.1496,                0.94076,               0.009703,               0.009703,               0.009703
                      6,                 1.1592,                 1.3253,                0.96409,                0.64908,                0.58277,                0.61571,                0.44574,                 1.0094,                 1.0649,                0.93117,               0.009604,               0.009604,               0.009604
                      7,                 1.1359,                 1.2725,                0.95769,                0.59966,                0.60488,                0.62232,                0.45463,                0.99407,                 1.0338,                0.92664,               0.009505,               0.009505,               0.009505
                      8,                 1.1167,                 1.2335,                0.94895,                0.68094,                 0.5747,                0.63038,                0.46304,                0.98362,                  0.993,                0.91954,               0.009406,               0.009406,               0.009406
                      9,                 1.1047,                 1.2115,                0.94455,                0.66248,                0.62884,                   0.65,                0.48079,                0.97018,                0.96625,                0.91504,               0.009307,               0.009307,               0.009307
                     10,                 1.0984,                 1.1816,                0.94188,                0.67883,                 0.6219,                0.65582,                0.48734,                0.95922,                0.94283,                0.91078,               0.009208,               0.009208,               0.009208
                     11,                 1.0883,                 1.1725,                0.93884,                0.65548,                0.64434,                0.66905,                0.49733,                0.95599,                0.93192,                0.90882,               0.009109,               0.009109,               0.009109
                     12,                 1.0807,                 1.1511,                0.93504,                0.68708,                0.64251,                0.67376,                0.50364,                0.94566,                0.91431,                0.90736,                0.00901,                0.00901,                0.00901
                     13,                 1.0706,                 1.1358,                0.93374,                0.66565,                0.65551,                0.67931,                0.50851,                0.93937,                0.90518,                0.90532,               0.008911,               0.008911,               0.008911
                     14,                 1.0702,                  1.124,                0.93234,                0.65827,                 0.6639,                0.68212,                0.51085,                0.93625,                0.89201,                0.90425,               0.008812,               0.008812,               0.008812
                     15,                 1.0613,                 1.1084,                0.93058,                 0.6986,                0.64227,                0.68425,                0.51412,                0.93256,                0.88459,                0.90207,               0.008713,               0.008713,               0.008713
                     16,                 1.0585,                 1.1052,                0.92893,                 0.6382,                0.65518,                0.68494,                0.51623,                0.92784,                0.87921,                0.90008,               0.008614,               0.008614,               0.008614
                     17,                  1.049,                 1.0861,                0.92624,                0.65693,                0.66109,                0.68897,                0.51973,                0.92405,                0.87253,                0.89893,               0.008515,               0.008515,               0.008515
                     18,                  1.049,                 1.0787,                0.92571,                0.69376,                0.64784,                0.69123,                0.52235,                0.92107,                0.86693,                0.89812,               0.008416,               0.008416,               0.008416
                     19,                 1.0456,                 1.0753,                 0.9249,                0.67155,                0.66611,                0.69484,                0.52538,                0.92009,                 0.8607,                0.89802,               0.008317,               0.008317,               0.008317
                     20,                 1.0405,                 1.0633,                 0.9224,                0.66598,                0.67429,                0.69627,                0.52601,                0.91871,                0.85527,                0.89752,               0.008218,               0.008218,               0.008218
                     21,                 1.0362,                 1.0608,                0.92235,                0.66273,                0.67457,                0.69788,                0.52747,                0.91692,                0.85268,                0.89683,               0.008119,               0.008119,               0.008119
                     22,                 1.0329,                  1.051,                0.92121,                0.66253,                0.67348,                0.69921,                0.52932,                0.91506,                0.85068,                0.89633,                0.00802,                0.00802,                0.00802
                     23,                  1.032,                 1.0445,                 0.9199,                0.65377,                0.67931,                0.70033,                0.53086,                0.91378,                0.84825,                0.89603,               0.007921,               0.007921,               0.007921
                     24,                 1.0291,                 1.0394,                0.91908,                0.64945,                0.68134,                 0.7008,                0.53198,                0.91237,                0.84666,                0.89569,               0.007822,               0.007822,               0.007822
                     25,                 1.0276,                 1.0328,                 0.9191,                 0.6657,                0.66803,                0.70135,                0.53246,                0.91145,                0.84487,                0.89525,               0.007723,               0.007723,               0.007723
                     26,                 1.0263,                 1.0305,                0.91922,                0.68477,                0.66636,                0.70237,                0.53321,                0.90975,                0.84281,                0.89484,               0.007624,               0.007624,               0.007624
                     27,                 1.0214,                 1.0195,                0.91667,                0.68594,                 0.6663,                0.70377,                0.53445,                0.90921,                0.84082,                0.89459,               0.007525,               0.007525,               0.007525
                     28,                 1.0164,                 1.0149,                0.91469,                 0.6901,                0.66542,                0.70495,                 0.5355,                  0.908,                0.83896,                0.89423,               0.007426,               0.007426,               0.007426
                     29,                  1.016,                 1.0115,                0.91495,                 0.6557,                0.67057,                0.70597,                0.53654,                0.90701,                 0.8374,                  0.894,               0.007327,               0.007327,               0.007327
                     30,                 1.0138,                 1.0095,                0.91392,                0.65632,                0.66875,                0.70683,                0.53754,                0.90625,                0.83535,                0.89377,               0.007228,               0.007228,               0.007228
                     31,                 1.0099,                 1.0015,                0.91335,                0.67033,                0.67661,                0.70733,                0.53811,                0.90508,                0.83378,                0.89339,               0.007129,               0.007129,               0.007129
                     32,                 1.0085,                 0.9949,                0.91378,                0.65457,                 0.6856,                0.70808,                0.53908,                0.90452,                0.83222,                 0.8931,                0.00703,                0.00703,                0.00703
                     33,                 1.0075,                 0.9929,                0.91265,                 0.6585,                0.68691,                0.70924,                0.53983,                0.90352,                0.83005,                 0.8928,               0.006931,               0.006931,               0.006931
                     34,                 1.0069,                0.98563,                0.91321,                0.66361,                0.67641,                0.71043,                0.54049,                0.90242,                0.82822,                0.89251,               0.006832,               0.006832,               0.006832
                     35,                 1.0025,                0.98173,                0.91095,                0.66985,                0.68311,                 0.7114,                0.54183,                0.90165,                0.82619,                0.89221,               0.006733,               0.006733,               0.006733
                     36,                0.99873,                0.97959,                0.90964,                0.66903,                0.68363,                0.71245,                0.54286,                0.90072,                0.82404,                0.89191,               0.006634,               0.006634,               0.006634
                     37,                0.99656,                0.97544,                0.90995,                0.66561,                0.67937,                0.71311,                0.54319,                0.89986,                0.82235,                0.89151,               0.006535,               0.006535,               0.006535
                     38,                  0.998,                0.97128,                0.91028,                 0.6656,                0.68221,                0.71403,                0.54398,                0.89913,                0.82063,                0.89108,               0.006436,               0.006436,               0.006436
                     39,                0.99084,                0.96824,                0.90729,                0.66916,                0.67911,                0.71483,                0.54448,                0.89835,                0.81894,                0.89073,               0.006337,               0.006337,               0.006337
                     40,                 0.9953,                0.96426,                0.90866,                0.67137,                0.68102,                0.71568,                0.54536,                0.89769,                0.81722,                0.89039,               0.006238,               0.006238,               0.006238
                     41,                0.99354,                 0.9637,                0.90859,                0.67007,                0.68239,                0.71693,                0.54643,                0.89711,                0.81542,                0.89009,               0.006139,               0.006139,               0.006139
                     42,                0.98815,                0.95408,                0.90821,                0.67345,                 0.6802,                0.71863,                0.54762,                0.89644,                0.81382,                0.88984,                0.00604,                0.00604,                0.00604
                     43,                0.98651,                0.95307,                0.90684,                0.65738,                0.67959,                0.71877,                0.54786,                0.89543,                0.81246,                0.88933,               0.005941,               0.005941,               0.005941
                     44,                0.98625,                0.94878,                0.90591,                0.67819,                0.67622,                0.71993,                0.54867,                0.89457,                0.81081,                0.88892,               0.005842,               0.005842,               0.005842
                     45,                0.98425,                0.94544,                 0.9067,                0.67317,                0.69535,                0.72098,                0.54942,                0.89369,                0.80852,                0.88857,               0.005743,               0.005743,               0.005743
                     46,                0.98205,                0.93899,                0.90538,                0.67462,                0.69392,                0.72251,                0.55105,                0.89279,                 0.8068,                0.88832,               0.005644,               0.005644,               0.005644
                     47,                0.97856,                0.93936,                0.90557,                0.67495,                0.69251,                0.72339,                0.55184,                0.89188,                0.80517,                0.88801,               0.005545,               0.005545,               0.005545
                     48,                0.97678,                0.93069,                0.90392,                0.68204,                0.69146,                0.72377,                0.55249,                0.89106,                0.80317,                0.88771,               0.005446,               0.005446,               0.005446
                     49,                0.97779,                0.92996,                 0.9042,                0.68749,                0.68951,                0.72441,                0.55311,                 0.8902,                0.80173,                 0.8874,               0.005347,               0.005347,               0.005347
                     50,                0.97415,                0.92658,                0.90344,                0.65516,                0.70813,                0.72525,                0.55378,                0.88953,                0.80022,                0.88726,               0.005248,               0.005248,               0.005248
                     51,                0.97345,                0.92274,                0.90398,                 0.6902,                0.69162,                 0.7264,                0.55489,                0.88879,                0.79823,                0.88703,               0.005149,               0.005149,               0.005149
                     52,                0.97051,                0.91755,                0.90241,                0.67841,                 0.6981,                0.72752,                0.55614,                0.88775,                0.79632,                0.88676,                0.00505,                0.00505,                0.00505
                     53,                0.97086,                0.91679,                0.90066,                 0.6845,                0.69543,                 0.7285,                0.55695,                0.88703,                0.79457,                0.88647,               0.004951,               0.004951,               0.004951
                     54,                0.96778,                0.91501,                0.90097,                0.68435,                0.69518,                 0.7289,                0.55804,                0.88641,                0.79278,                0.88625,               0.004852,               0.004852,               0.004852
                     55,                0.96598,                 0.9081,                 0.9011,                0.68414,                0.69749,                0.73003,                0.55897,                0.88559,                0.79177,                0.88598,               0.004753,               0.004753,               0.004753
                     56,                0.96266,                0.90259,                0.89905,                0.67476,                0.70039,                0.73013,                 0.5589,                0.88475,                0.79024,                0.88565,               0.004654,               0.004654,               0.004654
                     57,                0.96109,                0.90066,                0.90023,                0.67803,                0.69776,                0.73087,                0.55966,                0.88423,                0.78882,                0.88547,               0.004555,               0.004555,               0.004555
                     58,                0.95931,                0.89248,                0.89849,                0.67969,                0.69692,                0.73121,                0.56017,                0.88337,                0.78761,                0.88522,               0.004456,               0.004456,               0.004456
                     59,                0.95792,                0.89061,                0.89939,                0.68495,                0.69518,                0.73182,                0.56114,                0.88256,                0.78566,                0.88481,               0.004357,               0.004357,               0.004357
                     60,                0.95685,                0.89082,                0.89803,                0.68721,                 0.6944,                0.73253,                0.56175,                0.88174,                 0.7842,                0.88454,               0.004258,               0.004258,               0.004258
                     61,                0.95609,                0.88472,                0.89759,                0.68679,                0.69359,                0.73289,                0.56215,                0.88154,                0.78278,                0.88441,               0.004159,               0.004159,               0.004159
                     62,                0.95231,                0.87859,                 0.8962,                 0.6863,                0.69445,                0.73369,                0.56287,                0.88094,                0.78137,                0.88418,                0.00406,                0.00406,                0.00406
                     63,                0.94998,                 0.8738,                0.89701,                0.68243,                0.69687,                0.73373,                0.56342,                0.88033,                0.77984,                0.88392,               0.003961,               0.003961,               0.003961
                     64,                0.94913,                0.87218,                0.89677,                0.69141,                0.69315,                 0.7343,                0.56345,                0.87957,                 0.7782,                 0.8837,               0.003862,               0.003862,               0.003862
                     65,                0.94771,                0.86899,                0.89603,                0.69218,                0.69285,                0.73522,                0.56446,                0.87877,                0.77644,                 0.8835,               0.003763,               0.003763,               0.003763
                     66,                 0.9446,                 0.8622,                0.89512,                0.68905,                0.69577,                 0.7359,                0.56516,                0.87809,                0.77497,                0.88336,               0.003664,               0.003664,               0.003664
                     67,                0.94174,                0.85939,                0.89421,                0.69682,                0.69142,                0.73626,                0.56576,                0.87743,                0.77346,                0.88323,               0.003565,               0.003565,               0.003565
                     68,                0.94509,                0.85671,                0.89544,                0.69756,                0.68953,                0.73694,                0.56621,                0.87662,                 0.7717,                 0.8831,               0.003466,               0.003466,               0.003466
                     69,                0.93921,                0.85664,                0.89374,                 0.6912,                0.69341,                0.73793,                0.56707,                0.87577,                0.77051,                0.88288,               0.003367,               0.003367,               0.003367
                     70,                0.93647,                0.84742,                0.89269,                0.69394,                0.69625,                0.73818,                0.56792,                0.87486,                0.76968,                0.88274,               0.003268,               0.003268,               0.003268
                     71,                0.93461,                0.84086,                0.89305,                0.69572,                0.69275,                0.73906,                0.56904,                0.87445,                0.76833,                 0.8826,               0.003169,               0.003169,               0.003169
                     72,                0.93509,                0.84179,                0.89301,                 0.7005,                0.69128,                0.73988,                0.56975,                0.87384,                0.76685,                0.88245,                0.00307,                0.00307,                0.00307
                     73,                0.93095,                0.83788,                0.89172,                0.70075,                0.69092,                0.74073,                0.57108,                0.87305,                0.76566,                0.88222,               0.002971,               0.002971,               0.002971
                     74,                0.92982,                 0.8353,                0.89075,                0.70378,                0.69048,                0.74122,                0.57163,                0.87236,                0.76393,                0.88205,               0.002872,               0.002872,               0.002872
                     75,                0.92717,                0.82615,                0.89089,                0.70406,                0.69335,                0.74185,                0.57228,                0.87176,                0.76306,                0.88185,               0.002773,               0.002773,               0.002773
                     76,                0.92446,                0.82209,                0.89067,                0.70575,                0.69523,                 0.7424,                 0.5731,                0.87127,                0.76227,                0.88164,               0.002674,               0.002674,               0.002674
                     77,                0.92026,                0.81178,                0.88876,                0.70627,                0.69788,                0.74342,                0.57415,                0.87067,                0.76133,                0.88149,               0.002575,               0.002575,               0.002575
                     78,                0.92149,                0.81438,                0.88858,                0.70617,                0.69915,                0.74429,                0.57493,                0.87022,                0.76032,                 0.8813,               0.002476,               0.002476,               0.002476
                     79,                0.91644,                0.80725,                0.88795,                0.70746,                0.69834,                 0.7449,                0.57576,                0.87001,                0.75899,                0.88141,               0.002377,               0.002377,               0.002377
                     80,                0.91596,                0.80602,                0.88823,                0.71015,                0.69709,                0.74504,                 0.5758,                0.86966,                0.75817,                0.88125,               0.002278,               0.002278,               0.002278
                     81,                 0.9128,                0.79928,                0.88605,                0.71408,                0.69709,                0.74582,                0.57724,                 0.8688,                0.75689,                0.88101,               0.002179,               0.002179,               0.002179
                     82,                 0.9108,                0.79434,                0.88526,                0.70769,                0.70535,                0.74636,                0.57744,                0.86844,                0.75575,                0.88083,                0.00208,                0.00208,                0.00208
                     83,                0.90593,                0.78701,                 0.8847,                0.71296,                0.70254,                0.74698,                0.57874,                 0.8678,                0.75505,                0.88069,               0.001981,               0.001981,               0.001981
                     84,                0.90571,                0.78274,                0.88427,                0.72128,                 0.6941,                0.74775,                0.57965,                0.86729,                0.75407,                0.88049,               0.001882,               0.001882,               0.001882
                     85,                0.90589,                0.78124,                0.88582,                0.72084,                0.69505,                0.74821,                0.58002,                0.86672,                0.75339,                0.88025,               0.001783,               0.001783,               0.001783
                     86,                0.89778,                0.77012,                0.88295,                0.72104,                0.69568,                0.74881,                 0.5803,                0.86645,                0.75262,                0.88011,               0.001684,               0.001684,               0.001684
                     87,                0.89286,                0.76302,                0.88182,                0.71398,                0.70199,                0.74906,                0.58058,                  0.866,                0.75201,                0.87996,               0.001585,               0.001585,               0.001585
                     88,                0.89451,                0.75912,                0.88275,                 0.7183,                0.70078,                 0.7495,                0.58111,                 0.8654,                 0.7514,                0.87981,               0.001486,               0.001486,               0.001486
                     89,                0.89217,                0.75365,                0.88215,                0.71489,                0.70609,                0.74979,                0.58174,                0.86503,                0.75088,                0.87965,               0.001387,               0.001387,               0.001387
                     90,                0.88914,                0.75135,                0.88146,                0.70749,                0.71433,                0.75088,                0.58284,                0.86451,                0.74996,                0.87946,               0.001288,               0.001288,               0.001288
                     91,                0.86065,                0.69886,                0.87465,                0.70989,                0.71425,                0.75143,                0.58317,                0.86425,                 0.7491,                0.87944,               0.001189,               0.001189,               0.001189
                     92,                0.85205,                0.68375,                0.87343,                0.71424,                 0.7104,                0.75204,                0.58395,                0.86354,                0.74797,                0.87919,                0.00109,                0.00109,                0.00109
                     93,                0.84886,                0.67733,                0.87208,                0.71006,                0.71615,                0.75256,                0.58499,                0.86279,                0.74766,                0.87896,               0.000991,               0.000991,               0.000991
                     94,                0.84578,                0.66726,                0.87192,                0.71203,                0.71627,                0.75288,                0.58561,                0.86229,                0.74694,                0.87875,               0.000892,               0.000892,               0.000892
                     95,                0.84023,                0.65921,                0.87031,                0.71523,                0.71636,                0.75323,                0.58611,                0.86159,                 0.7463,                0.87864,               0.000793,               0.000793,               0.000793
                     96,                0.83609,                0.65071,                0.86852,                0.71566,                0.71411,                0.75371,                0.58629,                0.86114,                 0.7461,                 0.8785,               0.000694,               0.000694,               0.000694
                     97,                0.83464,                0.64138,                0.86826,                0.72591,                0.70767,                0.75463,                0.58696,                0.86055,                0.74587,                0.87834,               0.000595,               0.000595,               0.000595
                     98,                0.83012,                0.63595,                0.86786,                0.72402,                0.71071,                0.75491,                0.58706,                0.86051,                0.74571,                 0.8782,               0.000496,               0.000496,               0.000496
                     99,                0.82553,                 0.6262,                0.86544,                 0.7284,                 0.7097,                0.75528,                0.58736,                   0.86,                0.74537,                0.87805,               0.000397,               0.000397,               0.000397
                    100,                0.82132,                 0.6209,                0.86522,                0.73292,                0.70681,                 0.7554,                0.58707,                0.85983,                0.74572,                0.87793,               0.000298,               0.000298,               0.000298
