                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5459,                 3.4846,                 1.0817,                 0.4491,                0.37481,                0.34172,                0.22593,                 1.2565,                   1.79,                0.98834,              0.0033313,              0.0033313,              0.0033313
                      2,                  1.331,                 1.9874,                 1.0059,                0.52681,                0.47335,                0.45325,                0.30486,                 1.2448,                  1.539,                0.98115,              0.0065987,              0.0065987,              0.0065987
                      3,                 1.3336,                 1.6445,                 1.0146,                0.59575,                0.45431,                0.48464,                0.32167,                 1.2577,                 1.4688,                0.99747,                 0.0098,                 0.0098,                 0.0098
                      4,                 1.3143,                 1.5038,                  1.012,                0.55954,                0.53478,                 0.5425,                0.37448,                 1.1892,                 1.2873,                 0.9678,               0.009703,               0.009703,               0.009703
                      5,                 1.2697,                 1.3822,                0.99266,                0.61645,                0.58079,                0.59805,                0.41857,                 1.1361,                 1.1565,                0.95347,               0.009703,               0.009703,               0.009703
                      6,                 1.2351,                 1.3072,                0.97989,                0.62981,                0.60136,                0.62643,                0.44717,                  1.107,                 1.0931,                0.93988,               0.009604,               0.009604,               0.009604
                      7,                 1.2134,                 1.2625,                0.97282,                0.64211,                0.61906,                0.64261,                0.45952,                 1.0871,                 1.0511,                0.93459,               0.009505,               0.009505,               0.009505
                      8,                 1.1907,                 1.2257,                0.96549,                0.65433,                0.64162,                0.66338,                0.47655,                 1.0754,                 1.0041,                0.92998,               0.009406,               0.009406,               0.009406
                      9,                 1.1804,                  1.199,                0.95975,                 0.6642,                0.63973,                0.67142,                0.48516,                 1.0612,                 0.9812,                0.92409,               0.009307,               0.009307,               0.009307
                     10,                 1.1668,                 1.1752,                0.95693,                0.67839,                 0.6445,                0.68086,                0.49375,                 1.0502,                0.95725,                0.92086,               0.009208,               0.009208,               0.009208
