                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7356,                 4.6684,                 1.1923,                 0.5739,                0.07343,                0.06994,                0.04311,                 1.4602,                 3.1464,                 1.0779,               0.070211,              0.0033099,              0.0033099
                      1,                 1.4312,                 2.8596,                 1.0376,                0.26247,                0.22964,                0.12502,                0.07057,                 1.5148,                 2.7437,                 1.0696,                0.04008,              0.0065117,              0.0065117
                      2,                 1.3918,                 2.4221,                 1.0316,                0.27264,                0.34114,                0.17048,                0.10057,                 1.3809,                 3.6006,                 1.0641,              0.0098162,              0.0095815,              0.0095815
                      3,                 1.3897,                 2.1916,                 1.0358,                0.30684,                0.33798,                0.17487,                0.10549,                 1.5036,                 3.2406,                 1.1333,               0.009406,               0.009406,               0.009406
                      4,                 1.3372,                 1.9481,                  1.017,                0.36146,                0.28088,                0.24741,                0.15362,                 1.3516,                 2.3715,                 1.0577,               0.009406,               0.009406,               0.009406
                      5,                 1.3019,                  1.808,                 1.0067,                0.39158,                0.42869,                 0.3546,                0.23331,                 1.2083,                  1.892,                 1.0009,               0.009208,               0.009208,               0.009208
                      6,                 1.2729,                 1.6914,                0.99811,                 0.4427,                 0.4344,                0.40321,                0.27917,                 1.1687,                 1.6059,                0.97379,                0.00901,                0.00901,                0.00901
                      7,                 1.2504,                 1.6266,                0.98913,                 0.4702,                0.43335,                0.37526,                0.24657,                 1.2394,                 1.6898,                0.99471,               0.008812,               0.008812,               0.008812
                      8,                 1.2138,                 1.5528,                 0.9807,                0.48905,                0.46105,                0.44567,                0.30004,                 1.1501,                 1.5377,                0.97053,               0.008614,               0.008614,               0.008614
                      9,                 1.2046,                 1.5144,                0.97395,                0.39942,                0.46189,                0.41219,                0.27736,                  1.153,                 1.5492,                0.97035,               0.008416,               0.008416,               0.008416
                     10,                 1.1947,                 1.4779,                0.97139,                0.60687,                0.44492,                0.47872,                0.32589,                 1.1437,                 1.4159,                  0.965,               0.008218,               0.008218,               0.008218
                     11,                 1.1784,                 1.4184,                0.96498,                0.54009,                0.50607,                 0.5101,                0.35663,                 1.1038,                 1.3671,                0.94982,                0.00802,                0.00802,                0.00802
                     12,                 1.1745,                 1.4044,                0.96252,                0.46391,                0.51132,                0.46372,                0.32189,                 1.1093,                 1.4489,                0.94735,               0.007822,               0.007822,               0.007822
                     13,                 1.1552,                 1.3613,                 0.9565,                0.61323,                0.45626,                0.48695,                0.33365,                 1.1297,                 1.3802,                0.95866,               0.007624,               0.007624,               0.007624
                     14,                   1.14,                 1.3343,                0.95259,                0.51647,                0.47967,                0.46933,                0.32554,                 1.1125,                 1.4109,                 0.9456,               0.007426,               0.007426,               0.007426
