                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65757,                  1.102,                0.58657,                0.98143,                0.71636,                0.67848,                0.69445,                 0.5302,                0.64913,                0.63516,                0.63589,                0.42236,                0.60672,                0.93108,                0.55509,                0.92219,              0.0033075,              0.0033075,              0.0033075
                      2,                0.69149,                 1.1326,                0.61041,                0.99276,                0.69432,                0.65522,                0.67219,                0.50362,                0.64566,                0.62199,                0.62647,                0.41307,                0.65814,                0.96846,                0.60629,                0.94582,              0.0065586,              0.0065586,              0.0065586
                      3,                0.73748,                 1.1998,                  0.656,                 1.0136,                 0.6733,                0.62529,                0.64513,                0.46291,                0.60891,                0.56901,                0.58198,                0.36418,                0.75745,                 1.1233,                0.67557,                 1.0081,              0.0097273,              0.0097273,              0.0097273
                      4,                0.80016,                 1.3083,                0.71582,                  1.046,                0.69906,                0.58329,                0.61945,                0.44388,                0.63717,                0.55994,                0.57169,                0.35636,                0.78849,                 1.1811,                0.73317,                   1.03,              0.0096288,              0.0096288,              0.0096288
                      5,                0.80744,                 1.3307,                0.72295,                 1.0491,                0.72021,                0.60331,                 0.6362,                0.45432,                 0.6803,                 0.5529,                0.57819,                0.35914,                0.79611,                 1.1814,                0.70188,                 1.0318,              0.0096288,              0.0096288,              0.0096288
                      6,                0.81142,                 1.3281,                0.72246,                 1.0509,                 0.6647,                0.61321,                0.63552,                0.45574,                0.62032,                0.56169,                0.57939,                0.36467,                0.76245,                 1.1436,                0.67102,                  1.008,               0.009505,               0.009505,               0.009505
                      7,                 0.8063,                 1.3331,                0.72028,                 1.0525,                0.63881,                0.62727,                0.63629,                 0.4509,                0.62751,                 0.5599,                0.58483,                0.36185,                0.80767,                 1.1608,                 0.7131,                 1.0314,              0.0093813,              0.0093813,              0.0093813
                      8,                0.80421,                 1.3108,                0.71627,                 1.0501,                0.63754,                  0.641,                0.63868,                0.45647,                0.57836,                0.60296,                0.58494,                 0.3635,                 0.7735,                 1.2087,                 0.6993,                  1.018,              0.0092575,              0.0092575,              0.0092575
                      9,                 0.8036,                 1.3148,                0.71819,                 1.0502,                0.67433,                0.61677,                0.64106,                0.45733,                0.60094,                0.58186,                0.58258,                0.36916,                0.75383,                 1.1069,                0.70181,                 1.0095,              0.0091337,              0.0091337,              0.0091337
                     10,                0.79909,                 1.3085,                0.71169,                 1.0467,                0.67648,                0.63676,                0.65329,                0.47565,                 0.6076,                0.58946,                0.59222,                0.38014,                0.74104,                 1.1367,                0.66711,                0.99535,                0.00901,                0.00901,                0.00901
