bboxes,scores,labels,timestamp,width,height,cctvid,region_and_name,centername,img_directory
"[[1248.2773209596248, 1422.9610704380043, 629.1006489511348, 568.8322127885185]]",[0.8936301415402703],[3],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1217.806659609698, 629.1006489511348, 212.83328917138485]]",[0.5641973129479241],[7],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1569.213914865831, 629.1006489511348, 212.85617455443077]]",[0.6296004346001417],[13],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 134.16249182609104, 629.1006489511348, 153.54992650181063]]",[0.5263702803824457],[15],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1357.2589128700315, 629.1006489511348, 102.41196574361331]]",[0.6904920445383161],[4],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1443.466649278336, 629.1006489511348, 659.1206237796079]]",[0.8859728737214412],[1],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 836.157238286952, 629.1006489511348, 248.46354663356558]]",[0.9698424627878223],[1],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 122.26032717244593, 629.1006489511348, 900]]",[0.9946355184251716],[15],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 217.90104483879418, 629.1006489511348, 621.7784518707457]]",[0.991405889085803],[9],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 357.8916982316861, 629.1006489511348, 475.7491169635306]]",[0.8737634140327519],[17],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 236.24329277213957, 629.1006489511348, 669.1339948218938]]",[0.6065943425021012],[1],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 460.85123737782675, 629.1006489511348, 432.0927728585695]]",[0.6101306765015767],[10],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 675.9119928566931, 629.1006489511348, 655.0766580971284]]",[0.9475632734890984],[7],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 856.8592219546495, 629.1006489511348, 503.0404410563135]]",[0.7984845521018478],[2],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 146.41244826960758, 629.1006489511348, 810.7685727705718]]",[0.5884555336256744],[12],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 509.69175147598867, 629.1006489511348, 770.0441622219139]]",[0.834805067777824],[0],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1597.4984782677573, 629.1006489511348, 532.0538905071818]]",[0.7119559511808768],[21],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 49.0080488614232, 629.1006489511348, 815.588938009505]]",[0.7309595875969097],[21],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1488.7710955892755, 629.1006489511348, 261.5436432990012]]",[0.6157876097068564],[3],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 246.14236673012326, 629.1006489511348, 390.2623429693984]]",[0.594444408813227],[20],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1023.5439429086163, 629.1006489511348, 803.2139280859666]]",[0.8282804553973111],[17],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 837.9869770132527, 629.1006489511348, 231.49619958158203]]",[0.735671658525634],[10],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 543.9189276862096, 629.1006489511348, 453.47059142786463]]",[0.8518031937738999],[22],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 505.1263477633498, 629.1006489511348, 602.9339620123993]]",[0.9905069485901472],[12],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1600, 629.1006489511348, 496.6636804552951]]",[0.7171683150990109],[17],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 591.7138331126857, 629.1006489511348, 654.1779193258233]]",[0.8420056490077632],[10],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 375.17192218468267, 629.1006489511348, 900]]",[0.6353853344704963],[0],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 600.6449709835774, 629.1006489511348, 499.85934215351426]]",[0.7237805687777836],[18],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 796.4325974556122, 629.1006489511348, 900]]",[0.958056186384802],[1],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 304.18333296703815, 629.1006489511348, 195.79532733178718]]",[0.7958114426909043],[12],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1514.7301808655802, 629.1006489511348, 726.1321773419028]]",[0.5328218696847691],[18],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 365.3181883829924, 629.1006489511348, 415.9350601812111]]",[0.6861303054507213],[2],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 917.4729283391904, 629.1006489511348, 266.94055793164125]]",[0.7591695919862008],[13],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1273.3130947740458, 629.1006489511348, 816.1864872756192]]",[0.8693689456973883],[0],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 448.2620833658122, 629.1006489511348, 427.811651925872]]",[0.5534513131624998],[3],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 366.2391351459881, 629.1006489511348, 245.03340131333496]]",[0.9143763980024626],[14],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 597.7188523061056, 629.1006489511348, 179.59372706046625]]",[0.9366812694862009],[7],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 994.7177206917739, 629.1006489511348, 389.01098617184834]]",[0.8640564752444719],[20],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1185.2058268138605, 629.1006489511348, 489.3707663069031]]",[0.6498291115996171],[9],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1339.883682881189, 629.1006489511348, 900]]",[0.5135241773426487],[13],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 665.9328602034188, 629.1006489511348, 614.4130809379726]]",[0.5510525527875372],[8],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1197.4546304832663, 629.1006489511348, 825.5492686140781]]",[0.5556993459153379],[4],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 187.70245423912408, 629.1006489511348, 548.4508746104904]]",[0.519995723958601],[18],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1490.7331173770467, 629.1006489511348, 206.41885081447293]]",[0.5956888869685508],[1],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1249.7032314190303, 629.1006489511348, 738.8413012400548]]",[0.6242241685659502],[4],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 78.41086667392159, 629.1006489511348, 900]]",[0.755246054409928],[10],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 836.3697551991103, 629.1006489511348, 900]]",[0.9018098518881217],[16],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 133.90864683427554, 629.1006489511348, 695.1857176700947]]",[0.8390169725386951],[18],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1582.279058972484, 629.1006489511348, 261.0771158567804]]",[0.9177190609748185],[8],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1600, 629.1006489511348, 900]]",[0.6621336400858169],[3],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1139.7385612917026, 629.1006489511348, 90.03639419335585]]",[0.7185852437856494],[20],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 755.5092657929029, 629.1006489511348, 191.0464028427097]]",[0.5363993635747515],[8],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
"[[1248.2773209596248, 1158.971584149248, 629.1006489511348, 296.54319166256926]]",[0.5279955732288526],[12],1693537372464,1600,900,E100033,대덕문화전당,대구교통정보센터,~/Downloads/cctv_images\E100033_1693537372464.jpg
